Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6367760968	0.5848463774	3.5295643806
0.6368339807	0.5605878830	3.5419616699
0.6368918258	0.5556493402	3.5444893837
0.6369497153	0.5531075001	3.5457909107
0.6370075747	0.5518435836	3.5464382172
0.6370654411	0.5506002903	3.5470750332
0.6371233163	0.5557844043	3.5444202423
0.6371811969	0.7789359689	3.4315097332
0.6372390536	2.4000937939	2.6864106655
0.6372969270	4.2945899963	1.9627927542
0.6373547999	6.5137996674	1.2801226377
0.6374126617	11.1353235245	0.2816511989
0.6374705256	17.5156135559	-0.4966444373
0.6375284032	24.1027641296	-0.9024976492
0.6375862760	35.5308647156	-1.1857004166
0.6376441470	43.6510925293	-1.2553486824
0.6377020234	52.0839538574	-1.2856183052
0.6377598708	56.5454711914	-1.2935394049
0.6378177457	64.4476547241	-1.3009905815
0.6378756250	62.2412872314	-1.2994905710
0.6379334903	63.5836029053	-1.3004443645
0.6379913663	58.9541015625	-1.2964960337
0.6380492349	54.0631904602	-1.2895945311
0.6381070879	48.1663131714	-1.2748180628
0.6381649738	41.9718856812	-1.2453900576
0.6382228345	37.9304885864	-1.2127732038
0.6382807194	35.1539306641	-1.1807895899
0.6383385836	32.9746093750	-1.1482270956
0.6383964489	31.2860946655	-1.1173130274
0.6384543393	30.5335826874	-1.1016583443
0.6385121875	30.7842483521	-1.1070116758
0.6385700612	31.4066925049	-1.1197082996
0.6386279370	31.7107543945	-1.1256138086
0.6386858123	32.0358924866	-1.1317224503
0.6387436552	31.1362876892	-1.1142948866
0.6388015247	28.7199687958	-1.0584038496
0.6388594168	26.2352466583	-0.9839566350
0.6389172802	23.8235473633	-0.8904094696
0.6389751677	20.7135143280	-0.7286804914
0.6390330208	17.5239543915	-0.4973571897
0.6390908863	15.7084655762	-0.3264357746
0.6391487558	14.4789609909	-0.1906187683
0.6392066355	14.4448680878	-0.1865957975
0.6392644976	14.1715841293	-0.1538203210
0.6393223617	14.1608533859	-0.1525139213
0.6393802362	16.1838836670	-0.3744058311
0.6394381140	18.8356399536	-0.6019859314
0.6394959634	19.8513450623	-0.6736190915
0.6395538582	21.0482196808	-0.7487418652
0.6396117068	20.9075546265	-0.7403969765
0.6396695848	20.6363582611	-0.7239546180
0.6397274446	19.5168628693	-0.6508722305
0.6397853212	18.3108444214	-0.5618542433
0.6398431971	16.8539085388	-0.4380531609
0.6399010685	15.3431863785	-0.2879087031
0.6399589351	14.2806806564	-0.1670179516
0.6400168052	11.3368492126	0.2482266426
0.6400746903	3.9833989143	2.0719506741
0.6401325622	1.5805166960	3.0471677780
0.6401904197	0.7216469049	3.4602437019
0.6402483046	0.6241106391	3.5095655918
0.6403061501	0.5922883153	3.5257675648
0.6403640193	0.5798895955	3.5320949554
0.6404219078	0.5738669038	3.5351715088
0.6404797557	0.5706881285	3.5367960930
0.6405376492	0.5674521327	3.5384504795
0.6405955153	0.5654510856	3.5394737720
0.6406533925	0.5643971562	3.5400128365
0.6407112567	0.5629191995	3.5407688618
0.6407691193	0.5625729561	3.5409460068
0.6408269766	0.5612383485	3.5416288376
0.6408848555	0.5607625842	3.5418722630
0.6409427122	0.5605091453	3.5420019627
0.6410005894	0.5600739717	3.5422246456
0.6410584811	0.5596490502	3.5424420834
0.6411163356	0.5597487688	3.5423910618
0.6411741945	0.5594883561	3.5425243378
0.6412320743	0.5592511892	3.5426456928
0.6412899317	0.5590327382	3.5427575111
0.6413478140	0.5588529110	3.5428495407
0.6414056732	0.5585258603	3.5430169106
0.6414635460	0.5583963990	3.5430831909
0.6415214189	0.5581849217	3.5431914330
0.6415792932	0.5583581924	3.5431027412
0.6416371677	0.5579897165	3.5432913303
0.6416950357	0.5580996871	3.5432350636
0.6417528969	0.5583926439	3.5430850983
0.6418107656	0.5582011938	3.5431830883
0.6418686465	0.5678251386	3.5382597446
0.6419264974	2.1330587864	2.8005433083
0.6419843987	5.5403561592	1.5600036383
0.6420422552	6.8536658287	1.1889832020
0.6421001315	7.5099768639	1.0219730139
0.6421580012	4.2964105606	1.9621646404
0.6422158790	2.1958901882	2.7733986378
0.6422737225	1.5209482908	3.0746247768
0.6423316132	1.3300464153	3.1637897491
0.6423894781	1.3939256668	3.1337532997
0.6424473584	1.7571942806	2.9667391777
0.6425052286	2.5522739887	2.6227922440
0.6425630803	3.9005615711	2.1016170979
0.6426209623	9.0986957550	0.6625106335
0.6426788174	13.4529180527	-0.0629787594
0.6427366922	16.0313014984	-0.3592716157
0.6427945571	17.1615600586	-0.4658037722
0.6428524282	20.3948345184	-0.7089096904
0.6429103001	18.4289550781	-0.5710810423
0.6429681553	19.5045604706	-0.6500201225
0.6430260447	16.4585437775	-0.4010418952
0.6430839066	17.3915367126	-0.4859672785
0.6431417970	22.1182785034	-0.8083248734
0.6431996643	31.3277606964	-1.1181440353
0.6432575159	37.0601501465	-1.2037361860
0.6433153909	42.8854255676	-1.2510260344
0.6433732474	46.3329544067	-1.2680097818
0.6434311138	47.5967407227	-1.2728421688
0.6434889918	46.5167045593	-1.2687530518
0.6435468822	42.3194046021	-1.2475982904
0.6436047450	37.5529174805	-1.2089544535
0.6436626110	33.8912162781	-1.1628397703
0.6437204794	31.1895942688	-1.1153743267
0.6437783668	28.7144126892	-1.0582581758
0.6438362166	25.7368202209	-0.9665248990
0.6438940880	22.5047779083	-0.8282446265
0.6439519479	16.9019718170	-0.4424481988
0.6440098306	9.2449731827	0.6323445439
0.6440676996	6.9491000175	1.1639736891
0.6441255749	6.1113872528	1.3923476934
0.6441834476	6.3384885788	1.3284281492
0.6442413133	6.8471951485	1.1906880140
0.6442991927	6.9117913246	1.1737208366
0.6443570688	7.5805950165	1.0046826601
0.6444149277	8.5297193527	0.7843782902
0.6444728158	7.8999981880	0.9280684590
0.6445306965	7.6951146126	0.9769157171
0.6445885559	7.5311932564	1.0167647600
